variable,description
b17001d_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001d_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001d_031,estimate_total_income in the past 12 months at or above poverty level
b17001d_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001d_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001d_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001d_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001d_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001d_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001d_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001d_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001d_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001d_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001d_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001d_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001d_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001d_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001d_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001d_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001d_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001d_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001d_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001d_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001d_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001d_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001d_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001d_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001d_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001d_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001d_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001d_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001e_001,estimate_total
b17001e_002,estimate_total_income in the past 12 months below poverty level
b17001e_003,estimate_total_income in the past 12 months below poverty level_male
b17001e_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001e_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001e_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001e_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001e_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001e_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001e_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001e_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001e_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001e_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001e_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001e_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001e_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001e_017,estimate_total_income in the past 12 months below poverty level_female
b17001e_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001e_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001e_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001e_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001e_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001e_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001e_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001e_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001e_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001e_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001e_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001e_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001e_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001e_031,estimate_total_income in the past 12 months at or above poverty level
b17001e_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001e_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001e_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001e_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001e_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001e_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001e_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001e_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001e_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001e_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001e_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001e_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001e_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001e_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001e_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001e_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001e_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001e_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001e_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001e_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001e_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001e_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001e_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001e_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001e_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001e_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001e_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001e_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001f_001,estimate_total
b17001f_002,estimate_total_income in the past 12 months below poverty level
b17001f_003,estimate_total_income in the past 12 months below poverty level_male
b17001f_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001f_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001f_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001f_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001f_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001f_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001f_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001f_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001f_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001f_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001f_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001f_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001f_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001f_017,estimate_total_income in the past 12 months below poverty level_female
b17001f_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001f_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001f_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001f_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001f_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001f_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001f_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001f_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001f_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001f_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001f_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001f_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001f_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001f_031,estimate_total_income in the past 12 months at or above poverty level
b17001f_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001f_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001f_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001f_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001f_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001f_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001f_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001f_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001f_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001f_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001f_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001f_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001f_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001f_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001f_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001f_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001f_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001f_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001f_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001f_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001f_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001f_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001f_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001f_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001f_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001f_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001f_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001f_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001g_001,estimate_total
b17001g_002,estimate_total_income in the past 12 months below poverty level
b17001g_003,estimate_total_income in the past 12 months below poverty level_male
b17001g_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001g_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001g_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001g_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001g_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001g_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001g_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001g_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001g_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001g_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001g_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001g_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001g_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001g_017,estimate_total_income in the past 12 months below poverty level_female
b17001g_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001g_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001g_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001g_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001g_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001g_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001g_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001g_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001g_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001g_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001g_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001g_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001g_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001g_031,estimate_total_income in the past 12 months at or above poverty level
b17001g_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001g_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001g_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001g_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001g_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001g_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001g_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001g_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001g_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001g_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001g_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001g_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001g_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001g_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001g_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001g_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001g_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001g_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001g_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001g_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001g_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001g_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001g_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001g_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001g_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001g_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001g_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001g_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001h_001,estimate_total
b17001h_002,estimate_total_income in the past 12 months below poverty level
b17001h_003,estimate_total_income in the past 12 months below poverty level_male
b17001h_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001h_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001h_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001h_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001h_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001h_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001h_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001h_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001h_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001h_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001h_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001h_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001h_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001h_017,estimate_total_income in the past 12 months below poverty level_female
b17001h_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001h_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001h_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001h_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001h_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001h_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001h_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001h_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001h_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001h_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001h_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001h_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001h_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001h_031,estimate_total_income in the past 12 months at or above poverty level
b17001h_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001h_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001h_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001h_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001h_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001h_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001h_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001h_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001h_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001h_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001h_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001h_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001h_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001h_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001h_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001h_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001h_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001h_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001h_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001h_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001h_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001h_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001h_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001h_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001h_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001h_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001h_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001h_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001i_001,estimate_total
b17001i_002,estimate_total_income in the past 12 months below poverty level
b17001i_003,estimate_total_income in the past 12 months below poverty level_male
b17001i_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001i_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001i_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001i_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001i_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001i_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001i_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001i_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001i_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001i_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001i_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001i_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001i_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001i_017,estimate_total_income in the past 12 months below poverty level_female
b17001i_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001i_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001i_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001i_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001i_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001i_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001i_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001i_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001i_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001i_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001i_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001i_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001i_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001i_031,estimate_total_income in the past 12 months at or above poverty level
b17001i_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001i_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001i_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001i_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001i_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001i_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001i_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001i_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001i_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001i_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001i_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001i_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001i_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001i_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001i_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001i_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001i_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001i_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001i_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001i_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001i_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001i_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001i_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001i_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001i_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001i_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001i_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001i_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001_001,estimate_total
b17001_002,estimate_total_income in the past 12 months below poverty level
b17001_003,estimate_total_income in the past 12 months below poverty level_male
b17001_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001_017,estimate_total_income in the past 12 months below poverty level_female
b17001_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001_031,estimate_total_income in the past 12 months at or above poverty level
b17001_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b18101a_001,estimate_total
b18101a_002,estimate_total_under 18 years
b18101a_003,estimate_total_under 18 years_with a disability
b18101a_004,estimate_total_under 18 years_no disability
b18101a_005,estimate_total_18 to 64 years
b18101a_006,estimate_total_18 to 64 years_with a disability
b18101a_007,estimate_total_18 to 64 years_no disability
b18101a_008,estimate_total_65 years and over
b18101a_009,estimate_total_65 years and over_with a disability
